# suite|fixture|observed-error-or-exception
resvg|tests/filters/feMorphology/radius=10-0|0.31042192313772216
resvg|tests/filters/feMorphology/radius=10-1|0.31042192313772216
resvg|tests/filters/feMorphology/simple-case|0.30905728072778338
resvg|tests/filters/feMorphology/source-with-opacity|0.16173427749014807
resvg|tests/filters/feMorphology/zero-radius|0.31287708161306083
resvg|tests/filters/feOffset/complex-transform|0.2270230368064122
resvg|tests/filters/feOffset/percentage-values|0.35510909951598357
resvg|tests/filters/feOffset/with-primitiveUnits=objectBoundingBox|0.36106793916869367
resvg|tests/filters/fePointLight/complex-transform|0.44395852967704352
resvg|tests/filters/fePointLight/custom-attributes|0.61607062856661354
resvg|tests/filters/fePointLight/default-attributes|0.69775924033202685
resvg|tests/filters/fePointLight/primitiveUnits=objectBoundingBox|0.697334254933617
resvg|tests/filters/feSpecularLighting/lighting-color=hsla|0.33409137418822971
resvg|tests/filters/feSpecularLighting/specularExponent=0|0.37899347042072917
resvg|tests/filters/feSpecularLighting/specularExponent=256|0.37899347042072917
resvg|tests/filters/feSpecularLighting/with-feDistantLight|0.35915463646541318
resvg|tests/filters/feSpecularLighting/with-fePointLight|0.35559529070363605
resvg|tests/filters/feSpecularLighting/with-feSpotLight|0.34327014148428259
resvg|tests/filters/feSpecularLighting/with-feSpotLight-and-specular-and-exponent|0.35051089362219662
resvg|tests/filters/feSpecularLighting/with-feSpotLight-and-specularConstant=5|0.62791511729423277
resvg|tests/filters/feSpotLight/complex-transform|0.43273116082615293
resvg|tests/filters/feSpotLight/custom-attributes|0.60800361434824413
resvg|tests/filters/feSpotLight/default-attributes|0.70005503487132847
resvg|tests/filters/feSpotLight/limitingConeAngle-anti-aliasing|0.65569176797135942
resvg|tests/filters/feSpotLight/limitingConeAngle=-30|0.65569176797135942
resvg|tests/filters/feSpotLight/limitingConeAngle=0|0.70005503487132847
resvg|tests/filters/feSpotLight/limitingConeAngle=30|0.65569176797135942
resvg|tests/filters/feSpotLight/primitiveUnits=objectBoundingBox|0.70005503487132847
resvg|tests/filters/feSpotLight/specularExponent=-10|0.58655484976450434
resvg|tests/filters/feSpotLight/specularExponent=0.5|0.56187222284542004
resvg|tests/filters/feSpotLight/specularExponent=10|0.66398497918660826
resvg|tests/filters/feSpotLight/with-all-pointsAt|0.5784309829667148
resvg|tests/filters/feTile/complex-transform|0.24154951780156714
resvg|tests/filters/feTile/empty-region|0.29918112527652452
resvg|tests/filters/feTile/simple-case|0.29476503928083325
resvg|tests/filters/feTile/with-region|0.15857224089097025
resvg|tests/filters/feTile/with-subregion-1|0.41698681710445279
resvg|tests/filters/feTile/with-subregion-2|0.41930096438155312
resvg|tests/filters/feTile/with-subregion-3|0.41698681710445279
resvg|tests/filters/feTurbulence/baseFrequency=-0.05|0.24907487807199369
resvg|tests/filters/feTurbulence/baseFrequency=0.01|0.20746066088476781
resvg|tests/filters/feTurbulence/baseFrequency=0.05--0.01|0.24907554112535857
resvg|tests/filters/feTurbulence/baseFrequency=0.05-0|0.22581293484627027
resvg|tests/filters/feTurbulence/baseFrequency=0.05-0.01|0.21928611649667043
resvg|tests/filters/feTurbulence/baseFrequency=0.05-0.05|0.21710958265210056
resvg|tests/filters/feTurbulence/color-interpolation-filters=sRGB|0.21840581715270291
resvg|tests/filters/feTurbulence/complex-transform|0.20637526401767597
resvg|tests/filters/feTurbulence/no-attributes|0.24907487807199369
resvg|tests/filters/feTurbulence/numOctaves=-1|0.24907487807199369
resvg|tests/filters/feTurbulence/numOctaves=0|0.24907487807199369
resvg|tests/filters/feTurbulence/numOctaves=5|0.21436047745187828
